date,close_adj,sma200,is_bull
2019-11-18,283.5799,262.5928,1
2019-11-19,283.4981,262.7863,1
2019-11-20,282.4439,262.9762,1
2019-11-21,281.9894,263.1754,1
2019-11-22,282.6165,263.3763,1
2019-11-25,284.8069,263.5875,1
2019-11-26,285.4522,263.7864,1
2019-11-27,286.7246,263.9876,1
2019-11-29,285.6612,264.1862,1
2019-12-02,283.2346,264.3593,1
2019-12-03,281.3351,264.5207,1
2019-12-04,283.071,264.6883,1
2019-12-05,283.5799,264.8629,1
2019-12-06,286.1702,265.0427,1
2019-12-09,285.2704,265.2163,1
2019-12-10,284.9523,265.3892,1
2019-12-11,285.7612,265.5668,1
2019-12-12,288.2242,265.7589,1
2019-12-13,288.3968,265.9441,1
2019-12-16,290.3781,266.1438,1
2019-12-17,290.4418,266.3456,1
2019-12-18,290.4599,266.5549,1
2019-12-19,291.6505,266.7807,1
2019-12-20,292.9229,267.0152,1
2019-12-23,293.3704,267.2342,1
2019-12-24,293.3796,267.4485,1
2019-12-26,294.9413,267.6623,1
2019-12-27,294.8683,267.8766,1
2019-12-30,293.2426,268.0765,1
2019-12-31,293.955,268.2754,1
2020-01-02,296.704,268.4878,1
2020-01-03,294.4573,268.6927,1
2020-01-06,295.5806,268.8889,1
2020-01-07,294.7495,269.1057,1
2020-01-08,296.3204,269.3312,1
2020-01-09,298.3297,269.5574,1
2020-01-10,297.4712,269.786,1
2020-01-13,299.517,270.02,1
2020-01-14,299.0603,270.2438,1
2020-01-15,299.7361,270.4558,1
2020-01-16,302.2295,270.6797,1
2020-01-17,303.1702,270.9063,1
2020-01-21,302.5765,271.1265,1
2020-01-22,302.613,271.3406,1
2020-01-23,302.9601,271.5554,1
2020-01-24,300.2659,271.7635,1
2020-01-27,295.4528,271.943,1
2020-01-28,298.5489,272.1385,1
2020-01-29,298.3023,272.3239,1
2020-01-30,299.2704,272.5149,1
2020-01-31,293.8362,272.678,1
2020-02-03,296.019,272.8552,1
2020-02-04,300.5307,273.0524,1
2020-02-05,304.0013,273.2658,1
2020-02-06,305.0242,273.4725,1
2020-02-07,303.3985,273.6741,1
2020-02-10,305.6635,273.8878,1
2020-02-11,306.1932,274.098,1
2020-02-12,308.1659,274.316,1
2020-02-13,307.8371,274.5317,1
2020-02-14,308.3303,274.7598,1
2020-02-18,307.5357,274.9868,1
2020-02-19,309.0061,275.2083,1
2020-02-20,307.7367,275.4289,1
2020-02-21,304.5675,275.6556,1
2020-02-24,294.4664,275.8337,1
2020-02-25,285.5435,275.9711,1
2020-02-26,284.4932,276.0967,1
2020-02-27,271.7161,276.191,0
2020-02-28,270.5745,276.2682,0
2020-03-02,282.2921,276.3965,1
2020-03-03,274.2094,276.4725,0
2020-03-04,285.7352,276.6145,1
2020-03-05,276.2369,276.7175,0
2020-03-06,271.6704,276.7862,0
2020-03-09,250.4544,276.7528,0
2020-03-10,263.4142,276.7998,0
2020-03-11,250.5732,276.7798,0
2020-03-12,226.599,276.6517,0
2020-03-13,245.9701,276.629,0
2020-03-16,219.0552,276.4682,0
2020-03-17,230.8824,276.3836,0
2020-03-18,219.1922,276.2436,0
2020-03-19,219.6579,276.0791,0
2020-03-20,210.2469,275.8566,0
2020-03-23,204.8713,275.599,0
2020-03-24,223.4333,275.4214,0
2020-03-25,226.7781,275.2545,0
2020-03-26,240.0196,275.1542,0
2020-03-27,232.8705,275.0204,0
2020-03-30,240.4331,274.919,0
2020-03-31,236.8494,274.8012,0
2020-04-01,226.19,274.6296,0
2020-04-02,231.4094,274.4705,0
2020-04-03,228.0646,274.2916,0
2020-04-06,243.3828,274.1767,0
2020-04-07,243.6309,274.0651,0
2020-04-08,251.8092,273.9959,0
2020-04-09,255.6411,273.9589,0
2020-04-13,253.3071,273.9116,0
2020-04-14,260.7778,273.8969,0
2020-04-15,255.2368,273.8478,0
2020-04-16,256.4681,273.7928,0
2020-04-17,263.3967,273.7689,0
2020-04-20,258.7562,273.7111,0
2020-04-21,250.8995,273.6156,0
2020-04-22,256.4681,273.5554,0
2020-04-23,256.4497,273.4933,0
2020-04-24,260.0243,273.4428,0
2020-04-27,263.7735,273.4078,0
2020-04-28,262.5605,273.3607,0
2020-04-29,269.434,273.3475,0
2020-04-30,266.9253,273.3261,0
2020-05-01,259.8589,273.2786,0
2020-05-04,260.5757,273.2298,0
2020-05-05,262.9832,273.2005,0
2020-05-06,261.2005,273.1591,0
2020-05-07,264.3524,273.1237,0
2020-05-08,268.7264,273.1038,0
2020-05-11,268.7815,273.0908,0
2020-05-12,263.4243,273.0418,0
2020-05-13,258.7654,272.9721,0
2020-05-14,261.8621,272.9211,0
2020-05-15,263.0659,272.8911,0
2020-05-18,271.0788,272.9128,0
2020-05-19,268.2945,272.9307,0
2020-05-20,272.8523,273.0112,0
2020-05-21,270.9685,273.0642,0
2020-05-22,271.4831,273.1191,0
2020-05-26,274.828,273.1651,1
2020-05-27,278.9171,273.2406,1
2020-05-28,278.4025,273.3296,1
2020-05-29,279.6431,273.4045,1
2020-06-01,280.7733,273.5242,1
2020-06-02,283.0982,273.6522,1
2020-06-03,286.8657,273.78,1
2020-06-04,286.1122,273.8882,1
2020-06-05,293.4451,274.0433,1
2020-06-08,296.9921,274.2054,1
2020-06-09,294.7775,274.3569,1
2020-06-10,293.1327,274.5341,1
2020-06-11,276.2339,274.6126,1
2020-06-12,279.542,274.7127,1
2020-06-15,282.1517,274.8167,1
2020-06-16,287.5825,274.9312,1
2020-06-17,286.3879,275.0403,1
2020-06-18,286.4981,275.1577,1
2020-06-19,284.8682,275.252,1
2020-06-22,286.6957,275.3384,1
2020-06-23,288.0156,275.4303,1
2020-06-24,280.6687,275.4848,1
2020-06-25,283.6776,275.5546,1
2020-06-26,276.9398,275.5812,1
2020-06-29,281.0102,275.6235,1
2020-06-30,284.6098,275.6846,1
2020-07-01,286.6034,275.7599,1
2020-07-02,288.1817,275.8397,1
2020-07-06,292.6305,275.9409,1
2020-07-07,289.6123,276.0271,1
2020-07-08,291.8275,276.1307,1
2020-07-09,290.1661,276.2264,1
2020-07-10,293.1289,276.3476,1
