ticker,category
NOW,S&P 500
NRG,S&P 500
NSA,S&P MidCap 400
NSC,S&P 500
NTAP,S&P 500
NTNX,S&P MidCap 400
NTRS,S&P 500
NUE,S&P 500
NVDA,S&P 500
NVR,S&P 500
NVST,S&P MidCap 400
NVT,S&P MidCap 400
NWE,S&P MidCap 400
NWS,S&P 500
NWSA,S&P 500
NXPI,S&P 500
NXST,S&P MidCap 400
NXT,S&P MidCap 400
NYT,S&P MidCap 400
O,S&P 500
OC,S&P MidCap 400
ODFL,S&P 500
OGE,S&P MidCap 400
OGS,S&P MidCap 400
OHI,S&P MidCap 400
OKE,S&P 500
OKTA,S&P MidCap 400
OLED,S&P MidCap 400
OLLI,S&P MidCap 400
OLN,S&P MidCap 400
OMC,S&P 500
ON,S&P 500
ONB,S&P MidCap 400
ONTO,S&P MidCap 400
OPCH,S&P MidCap 400
ORA,S&P MidCap 400
ORCL,S&P 500
ORI,S&P MidCap 400
ORLY,S&P 500
OSK,S&P MidCap 400
OTIS,S&P 500
OVV,S&P MidCap 400
OXY,S&P 500
OZK,S&P MidCap 400
P,S&P MidCap 400
PAG,S&P MidCap 400
PANW,S&P 500
PATH,S&P MidCap 400
PAYX,S&P 500
PB,S&P MidCap 400
PBF,S&P MidCap 400
PCAR,S&P 500
PCG,S&P 500
PCTY,S&P MidCap 400
PEG,S&P 500
PEGA,S&P MidCap 400
PEN,S&P MidCap 400
PEP,S&P 500
PFE,S&P 500
PFG,S&P 500
PFGC,S&P MidCap 400
PG,S&P 500
PGR,S&P 500
PH,S&P 500
PHM,S&P 500
PII,S&P MidCap 400
PINS,S&P MidCap 400
PK,S&P MidCap 400
PKG,S&P 500
PLD,S&P 500
PLNT,S&P MidCap 400
PLTR,S&P 500
PM,S&P 500
PNC,S&P 500
PNFP,S&P MidCap 400
PNR,S&P 500
PNW,S&P 500
PODD,S&P 500
POOL,S&P 500
POR,S&P MidCap 400
POST,S&P MidCap 400
PPC,S&P MidCap 400
PPG,S&P 500
PPL,S&P 500
PR,S&P MidCap 400
PRI,S&P MidCap 400
PRU,S&P 500
PSA,S&P 500
PSKY,S&P 500
PSN,S&P MidCap 400
PSX,S&P 500
PTC,S&P 500
PVH,S&P MidCap 400
PWR,S&P 500
PYPL,S&P 500
Q,S&P 500
QCOM,S&P 500
QLYS,S&P MidCap 400
QQQ,ETF
R,S&P MidCap 400
